ensg	entr	hgnc	symb	synonym1	synonym2
ENSG00000136710	84317	HGNC:28178	CCDC115	ccp1	
ENSG00000161180	164592	HGNC:26688	CCDC116	FLJ36046	
ENSG00000159873	150275	HGNC:26599	CCDC117	FLJ33814	
ENSG00000147144	90060	HGNC:28910	CCDC120	JM11	
ENSG00000176714	79635	HGNC:25833	CCDC121	FLJ43364	
ENSG00000176714	79635	HGNC:25833	CCDC121	FLJ13646	
ENSG00000271400	643888	HGNC:55052	CCDC121P1		
ENSG00000151773	160857	HGNC:26478	CCDC122	FLJ31846	
ENSG00000007080	115098	HGNC:25171	CCDC124	Lso2	
ENSG00000007080	115098	HGNC:25171	CCDC124	oxs1	
ENSG00000183323	202243	HGNC:28924	CCDC125	KENAE	
ENSG00000169193	90693	HGNC:22398	CCDC126	FLJ23031	
ENSG00000164366	133957	HGNC:30520	CCDC127	FLJ25701	
ENSG00000100147	79879	HGNC:26185	CCDC134	FLJ22349	
ENSG00000128596	64753	HGNC:22225	CCDC136	KIAA1793	
ENSG00000128596	64753	HGNC:22225	CCDC136	NAG6	
ENSG00000128596	64753	HGNC:22225	CCDC136	DKFZP434G156	
ENSG00000185298	339230	HGNC:33451	CCDC137	MGC16597	
ENSG00000242609	642802	HGNC:33459	CCDC137P1		CCDC137P
ENSG00000239350	127379757	HGNC:56429	CCDC137P2		
ENSG00000163006	165055	HGNC:26531	CCDC138	FLJ32745	
ENSG00000163081	151278	HGNC:26514	CCDC140	FLJ32447	
ENSG00000163492	285025	HGNC:26821	CCDC141	FLJ39502	
ENSG00000163492	285025	HGNC:26821	CCDC141	CAMDI	
ENSG00000135637	84865	HGNC:25889	CCDC142	FLJ14397	
ENSG00000170160	9720	HGNC:29072	CCDC144A	KIAA0565	
ENSG00000170160	9720	HGNC:29072	CCDC144A	FLJ43983	
ENSG00000154874	284047	HGNC:26704	CCDC144BP	FLJ36492	CCDC144B
ENSG00000154898	348254	HGNC:29073	CCDC144CP		CCDC144C
ENSG00000205212	339184	HGNC:33735	CCDC144NL	MGC87631	
ENSG00000233098	440416	HGNC:51340	CCDC144NL-AS1		
ENSG00000135205	57639	HGNC:29296	CCDC146	KIAA1505	
ENSG00000135205	57639	HGNC:29296	CCDC146	MBO2	
ENSG00000153237	130940	HGNC:25191	CCDC148	MGC125588	
ENSG00000227480	554201	HGNC:44134	CCDC148-AS1		
ENSG00000181982	91050	HGNC:25405	CCDC149	DKFZp761B107	
ENSG00000144395	284992	HGNC:26834	CCDC150	FLJ39660	
ENSG00000256304	100420678	HGNC:50280	CCDC150P1		
ENSG00000198865	100129792	HGNC:34438	CCDC152	LOC100129792	
ENSG00000248712	283152	HGNC:27446	CCDC153	LOC283152	
ENSG00000197599	645811	HGNC:34454	CCDC154	LOC645811	C16orf29
ENSG00000187860	550631	HGNC:33854	CCDC157		
ENSG00000163749	339965	HGNC:26374	CCDC158	FLJ25770	
ENSG00000183401	126075	HGNC:26996	CCDC159		
ENSG00000203952	347475	HGNC:37286	CCDC160		
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA425D10.7	C6orf184
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA425D10.7	C6orf185
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA425D10.7	CCDC162
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA425D10.7	C6orf183
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA425D10.3	C6orf184
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA425D10.3	C6orf185
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA425D10.3	CCDC162
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA425D10.3	C6orf183
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA487F23.3	C6orf184
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA487F23.3	C6orf185
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA487F23.3	CCDC162
ENSG00000203799	221262	HGNC:21565	CCDC162P	bA487F23.3	C6orf183
ENSG00000280670	126661	HGNC:27003	CCDC163	LOC126661	C1orf231
ENSG00000280670	126661	HGNC:27003	CCDC163	LOC126661	CCDC163P
ENSG00000255181	100130274	HGNC:41910	CCDC166		
ENSG00000198937	154467	HGNC:21239	CCDC167	dJ153P14.2	C6orf129
ENSG00000175820	643677	HGNC:26851	CCDC168	FLJ40176	C13orf40
ENSG00000242715	728591	HGNC:34361	CCDC169	RP11-251J8.1	C13orf38
ENSG00000242715	728591	HGNC:34361	CCDC169	LOC728591	C13orf38
ENSG00000250709	100526761	HGNC:38866	CCDC169-SOHLH2		C13orf38-SOHLH2
ENSG00000120262	80129	HGNC:21177	CCDC170	FLJ23305	C6orf97
ENSG00000120262	80129	HGNC:21177	CCDC170	bA282P11.1	C6orf97
ENSG00000164989	203238	HGNC:29828	CCDC171	FLJ39267	C9orf93
ENSG00000164989	203238	HGNC:29828	CCDC171	FLJ46740	C9orf93
ENSG00000164989	203238	HGNC:29828	CCDC171	Em:AL513423.1	C9orf93
ENSG00000164989	203238	HGNC:29828	CCDC171	bA778P13.1	C9orf93
ENSG00000164989	203238	HGNC:29828	CCDC171	bA536D16.1	C9orf93
ENSG00000182645	374355	HGNC:30524	CCDC172	MGC35062	C10orf96
ENSG00000154781	51244	HGNC:28033	CCDC174	FLJ33839	C3orf19
